,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
9191,1145166411.557045,1590187590.547875,4100091248.628658,11143266209.401728,15137360576.740269,18321961373.733402,20898414108.707047,22815911630.32407,23538817355.920715,25622507073.02051,19568013275.248264,11341928218.823767,6146052857.714406,19118362134.579617,17302623662.75247,498875415142.429,661242159185.9847,427605773817.0712,212565772769.95792,81635580732.84824,0.0
3411,5633593025.104841,7073281897.716541,18270452940.93944,53821666813.37954,80446263106.53809,102596464228.20253,123344749422.64958,141523030122.77316,160566724619.40924,189644282775.2049,162279423732.40387,184587082802.93802,116971350273.56647,1945995661565.0388,2504527657167.538,29748501061275.84,21321190038302.914,9629555672619.465,4082572311356.313,1416149970507.8887,0.0
5906,10287668321.05249,13437127890.026562,38422501876.15749,112849854711.26122,172223205713.2463,229542688487.59064,286696114482.954,340291161791.89844,394649396351.24536,489406023283.81885,425367232502.182,421577928618.6204,253833371972.37418,3167261585727.495,3577218092315.7354,55068808941287.82,59798184784644.63,34896832079641.516,16545144111611.592,6155444988394.815,0.0
11613,1838169115.5929837,1723917591.058881,2339723797.6735106,4236001546.9353776,4840805508.065466,5452150827.4419775,6012147701.11983,6349581114.64454,6433012082.947901,6851702442.757142,5125111752.785095,3045549122.5868235,1664054364.992231,7182221899.987133,6539734590.506844,143168640230.46375,196529488838.19827,130876747074.3762,65970440395.666,25585297941.63463,0.0
11114,371473898.34521306,565311663.2030911,1571908992.36226,4587029365.1899185,6239402460.123537,7405723894.279382,8261188436.992873,8912237790.886984,9206906863.621138,9840216240.420277,7379199843.437744,3934772290.4407444,2064578358.8055713,1985512508.4213696,1514470332.3567672,43814746076.2576,80129238517.96988,60936732773.9889,32495406636.688805,13048484202.67694,0.0
6880,684403475.3833923,1811411280.5542634,11877148092.718489,44071266913.67966,72470480507.4446,94735915645.91093,115390142823.92131,132487371514.94557,146216033048.67416,169919068859.9312,138464022374.99136,143677007938.92847,85035081684.46857,1390947038025.5042,2080703099343.607,15470494874223.08,9717799580901.578,3969695601250.65,1591697872696.463,529684817290.57263,0.0
12814,263971998.12921435,303615929.4482526,592009712.1023381,1541628072.9611826,2136662754.1933217,2544571574.8148274,2822215676.1238623,3032428125.817963,3135318608.2180557,3322090389.624834,2452307673.1096992,1299051473.5447497,683211404.0548304,916715150.7968098,742356620.2107382,19148727450.36958,32078899002.446297,23459693140.42942,12303870503.349787,4891093058.65719,0.0
6316,2747166262.0086284,3896947313.3379426,18076926109.472755,71227358948.34119,129895264746.6534,180502185384.66824,233981283054.9758,284725395933.0133,331765166323.69995,415416614069.32605,352840709627.0499,267994404893.0963,163877830626.07275,1197120028771.026,1371710207292.0806,29253625600397.207,28885434315422.953,15800253059026.13,7261293379417.074,2644393057041.7686,0.0
3354,4936320489.596424,6237161073.80657,16530593868.019468,47839408303.024765,70762429930.77272,89789433747.83357,108511837799.27507,124436783822.57964,137464975864.60062,160284960207.88718,131125512538.5137,118241560571.65482,68244906782.51044,855954861751.0354,1038952793749.006,13105629736662.72,11475063384510.146,5999055294692.769,2719075527790.1885,983604759256.263,0.0
3473,178352277.32135376,417006169.8660509,2175792869.1993656,7460480540.701571,11381343536.004742,14236050575.066336,16563938518.12629,18436612458.205574,19558568717.253326,21707196899.555374,16660691067.817415,8962477519.589659,4806196563.348995,3173261933.0033803,2247343103.9329805,87177294685.72781,168184468105.62772,130727218319.26024,70432709531.69891,28466570806.363262,0.0
9161,2730357847.5129075,3118984444.086016,6515134789.696736,17361101552.114853,23948665751.22384,29017670475.99856,33275406309.779175,36650630611.02669,38327059747.41254,42200954272.705894,32260599157.763607,18176722425.1661,9763562367.992813,22360869277.174973,18774777159.57059,512177254289.0792,870702744542.5721,642582846286.2899,338547294181.9507,134963207014.17873,0.0
11736,410661265.9374044,610770757.1895989,1842789350.711007,5420552403.77989,7520399910.730902,9105849025.073526,10397471337.90302,11345557388.266987,11738045175.488205,12863299822.490658,9765410033.801355,5423564673.804403,2907279363.9068046,5926914713.057828,4898732204.539769,137069692443.86465,222983904654.6789,159316070252.5985,82539546259.11003,32525578212.825478,0.0
11719,783663624.2366608,840130586.0037562,1213569448.1959643,2656765937.975122,3412941591.773127,3957460745.729169,4341792684.376552,4630976688.645792,4748939251.219442,5053394850.702296,3745877705.112013,2106573766.5841599,1109830019.2479641,3455489975.925656,2933665919.7131286,74223842917.32071,122192750751.71146,87941129316.1996,45656465058.01401,18009812791.37979,0.0
2372,29642831062.017082,26195394092.589603,35711525236.19345,79461386028.7867,101745260782.1077,120399115227.36957,136297794388.53217,149420001940.2959,154811438147.11053,169970317876.13553,130954357314.61566,96570577985.0058,53312064315.100975,501962113128.7495,542361136407.817,5801713164697.648,7275351525642.685,4766038060222.773,2397792232407.526,929732946203.435,0.0
793,1659099139.7694945,2727590235.2239428,11566729339.915108,37306865279.24331,61441937011.415855,80854703468.97987,99018862029.17133,115616320693.7984,130966258156.50073,159906975866.80298,135666764235.90808,131083528302.85606,76688830041.38863,1066954402964.2957,1385426876265.0857,15950236504228.602,11429493407899.91,4953185869372.203,2027965355782.9802,682924627440.003,0.0
7420,25240169515.974716,24224119632.33042,38532129921.27837,83197864766.70085,108489124923.70291,129613320144.74615,149738949881.87225,167063194041.9453,176897960049.71848,198144966194.38556,157917070776.00272,119246498373.22392,67046043684.1209,571894075057.9004,578300421853.7065,10614102984764.873,12493506459241.477,7539330166634.389,3617466977040.3247,1355269381345.508,0.0
12860,76929102.10575917,155666884.746771,694700979.0630383,2313309329.4203434,3517875251.196838,4387894106.432652,5040502904.991523,5520832729.964338,5790085525.547091,6358982629.928632,4743419986.972418,2430730736.283195,1300236936.5374522,384670459.92522234,211053387.19661346,5273332153.46247,10064376772.127794,7803465036.724573,4199960341.039707,1696622760.2646768,0.0
