,mass,dustmass,logmet,sfr100
990,542352866.3734391,2907431.709324363,-0.29449044558515614,0.044715019568736934
3065,155121236.77639788,273397.15561377566,-0.4216744972739366,1.5512123677639768e-05
3634,162424095.7475608,563631.695946954,-0.20718218334358474,1.6242409574756097e-05
2287,2680927138.9013147,15585292.175769722,-0.13844476631050334,0.2481237328132921
1009,1250661644.0391672,5159442.82493994,-0.14811114152922847,0.12811410315712432
547,5895974475.426923,10144257.594127126,0.016957909894235613,0.19940041848465853
423,5070922982.279339,8219553.071649617,-0.006655546988979975,0.10543705683986429
498,7988676480.448843,18730338.746430643,-0.015612281444371155,0.5007418672707563
851,4178068417.901789,633678.5663619547,-0.09473536030816565,0.00041780684179017837
1751,6479992044.058202,10926749.958726188,-0.04798614137944038,0.027364939572327933
1772,1624360970.6538594,9458439.274149844,-0.1467404973307996,0.09812318122612608
212,19419691183.362606,19292258.857894532,0.05663997987895669,0.09609633899115626
1482,2092580498.636732,17959847.399052624,-0.13711295287135486,0.11970433902917772
2180,157676920.58773458,234153.824898022,-0.22794824113400364,1.5767692058773434e-05
3243,178533565.8627265,789124.3484333685,-0.21770717342006174,1.7853356586272686e-05
1158,201707304.98803347,896087.0658853393,-0.16122166743229244,2.017073049880339e-05
3438,224586115.76822066,798029.2568697265,-0.2819444578438106,2.2458611576822057e-05
2083,623847275.8233376,4914834.527944605,-0.19006816778243732,0.07520730747458161
4591,74566186.5838211,56136.20760141639,-0.3281449876621583,7.456618658382103e-06
443,2429699110.072449,5028028.835154075,-0.02131559631174534,0.00024296991100724444
3180,243598764.31516552,1037551.7029766211,-0.18355757707347342,2.4359876431516518e-05
3266,250996965.15058765,269432.6580078961,-0.24133995808100778,2.509969651505877e-05
4751,67861172.48747058,594186.5615301076,-0.2352264096369073,6.786117248747053e-06
3579,48820902.08227621,501136.0903794497,-0.5829719680103957,4.882090208227624e-06
3696,66223906.20019331,212028.64172005313,-0.6182744760951708,6.6223906200193324e-06
3464,195799032.3479489,856382.3949022271,-0.21265515145329786,1.957990323479489e-05
1567,115018540.448461,425670.2542309681,-0.2983690411496565,0.019234149624708333
3808,192940775.66789448,1129065.065244228,-0.281026361609285,1.9294077566789453e-05
3108,252051984.2607615,874988.0682248529,-0.3291784641854025,0.021283554960898586
1393,8274806494.398847,39084849.58705029,-0.015571790304356332,0.9473577853206201
2052,1869359398.0318542,7329095.394148613,-0.13554600740165235,0.07473550977334395
