,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
2372,23333341.371555462,85388323.05353667,767836063.7233129,2991190224.1078115,5039567973.292408,6616669074.123134,8073217954.960145,9353413866.010086,10075628694.037716,11638071767.91232,9083571160.157219,4783795085.933753,2665161943.794266,623975985.2314817,285776934.8297893,6509610447.715051,12608820207.39723,9810266899.026297,5287955037.233856,2137719983.9957423,0.0
793,2547186.7657208005,61702492.81712539,724526596.1682245,2776474784.695894,4756235591.30329,6211091313.34771,7452636972.966679,8518160255.858873,9143489015.441957,10413025849.117582,7990097845.841162,4139321841.863805,2297779619.3399463,410181706.65233827,138945579.98175386,38988910.86003635,62244018.76527602,46991910.03788233,25203294.529197816,10209324.671903115,0.0
4890,113894850.2869792,148736631.63428706,313925253.59855235,820223629.0962785,1118228442.8383853,1367362782.9916375,1600788490.3570094,1801058647.2025852,1877669314.4787085,2105074661.0335677,1619242072.8207314,852354668.778659,471153761.54755694,361900136.02420986,266123429.126893,6651911434.836557,12352832671.076248,9515289039.991417,5106794604.424415,2060014625.6520965,0.0
2025,1946134.0060994106,51372766.31334841,575113390.0523245,2181930356.435589,3627456103.820621,4687468270.337931,5611408536.425848,6422990373.539443,6914226104.367872,7852125447.966313,6082019534.334852,3204404134.6691236,1778226789.706802,325843870.53040516,112472642.06601505,154668703.54671896,286553804.6322717,221348150.44746026,119101985.00793256,48141984.87264601,0.0
440,46539468666.140274,49932478243.123184,65726238161.11723,141654822626.5137,191445516886.76038,245839590873.98834,308035056728.3293,372975735194.7049,407059285985.3999,476114268532.83466,385542899668.2464,235431973048.26358,135965149054.65778,523278739348.5793,497970926706.00366,13079684962664.148,15723081088419.498,9634551457963.217,4662821275167.113,1757473813281.0803,0.0
1602,1033008.4565311921,31131875.20198301,337327796.25594544,1266698012.1425688,2110705680.106818,2725009365.673088,3239479439.941677,3667062458.209005,3926898596.408222,4437099869.209236,3409479970.8804274,1789108701.9317143,976704764.191224,222739377.27954,100319698.7269891,2254879367.175688,4373415923.931183,3403772433.2687,1834954060.7493286,741852707.6760513,0.0
1220,1546631252.9369879,2134414452.1324728,5002410070.789082,13698561252.363005,19092373462.86237,23847720201.23221,28654457385.669907,32928819656.649487,34922348361.073074,40068029998.497955,31483572101.663055,17132066169.499474,9731065267.927359,11564314236.45561,9174040190.89363,248406768490.51077,435207580174.89655,325918497866.11487,172819506768.32272,69178114841.84471,0.0
4362,391044278.6430578,446607692.0086154,779414500.8931869,1811618175.0740826,2359080955.1956387,2830993456.947154,3250957372.232941,3550554254.4714007,3630756522.4417706,3998250280.238885,3041073846.3135157,1616430417.7220712,869196501.2782432,921656403.1517586,717119198.0129969,17078484205.531668,31290883930.042244,24023327280.491722,12874578908.619259,5189622678.424688,0.0
4238,19791059.625462584,54451467.90723975,260127088.64298654,864726147.302793,1258300314.582602,1542770751.3089552,1766884163.8361533,1955998343.2541041,2046106783.4281197,2230644679.9773808,1684977260.0991457,870976635.5909343,472065342.5835373,82886176.56584121,27943431.220755976,12972850.083027735,22297872.91414779,17026872.33072387,9143686.135574058,3698602.1079709656,0.0
882,87941456.33304551,1530347469.352159,23137737220.938126,101420270663.67352,186782181024.1496,254328514194.25693,317930783526.4487,376313576901.1942,408572353158.8377,482167263204.1701,376630182229.9424,194467381555.91202,110586238674.20999,20605512261.689964,7366360635.767864,28030332627.664906,47841312165.377266,34564524207.846375,17921315151.815033,7051713704.559206,0.0
