,mass,dustmass,logmet,sfr100
6011,3180795311.7848115,33876474.42128378,-0.22051873219768417,0.5350944199079392
2107,158888898828.57635,541939728.9093887,-0.04341805581730488,0.846744333308839
9607,54502549.2063428,296991.26593050465,-0.8986919973193157,0.03833071333584121
12855,116064293.39147161,1307394.3207976979,-0.8651026231811234,1.160642933914715e-05
4609,1798567333.5220926,14337987.57567326,-0.2927583630603581,0.3703482729196284
4649,1784383740.5010753,19825589.527318854,-0.3613647551021154,0.4276765639879866
9393,102585651.72773728,1020981.6044743652,-0.7322279522955881,0.054148004301637166
6544,2726956655.945633,27041910.711417817,-0.2313421228400823,0.3467454956031175
11530,110120598.20248522,1227156.2620081357,-0.8126345045958931,0.030318399724078265
10684,165457987.49873152,1819119.3680855553,-0.727807170195749,1.654579874987313e-05
8958,1231431697.0671196,12590209.437460762,-0.2981103843454563,0.12307651254466982
441,1968986674.2315798,13606821.401030544,-0.1566390990421547,0.10818677577907057
5568,303417781.6857631,3829127.7636087886,-0.5311795714598754,3.034177816857631e-05
8584,1041543413.3122275,11514694.77488095,-0.3904888505820028,0.17547094851632425
14276,91123596.44220057,1001207.7187537226,-0.7063970082300719,9.112359644220065e-06
13306,293782933.21058166,3472300.8651281707,-0.5110548839163099,0.1638864877660813
10052,498642728.74258804,6665347.700189134,-0.534214808776462,0.06330147741322621
7096,3414642036.8642597,30747106.76989263,-0.23355962809480937,0.4952970282920627
13522,55794356.759413645,825046.7583811543,-0.9241800266452569,5.579435675941368e-06
9703,735664667.8018365,8832675.242172938,-0.48330079064417875,0.13741180288801758
10237,738906701.7827322,7845453.849554859,-0.42582891285017,0.10354716502544563
8208,1227957760.1701298,11175949.428457491,-0.3351866352263152,0.2320712687135972
5192,20695494086.440853,42317417.946643844,0.00807407996262255,0.0020695494086440842
7696,3657783646.7235746,35271078.63690667,-0.17851038548647505,0.5627871479131699
1797,73798580.15018307,3589874.7916619238,-0.39328631176095324,0.09799621319814726
9053,247835572.04396355,3288596.8816479314,-0.5683683543271963,0.03684873258736911
13141,74836156.89362521,885038.5038377964,-0.7294998860698352,0.02192938286527845
8226,1264101049.7585888,13021064.284291387,-0.3456200075866011,0.34930706432817216
13210,227226104.81246522,2780912.9430515184,-0.4690254732666067,0.03219606132792722
13578,61450393.8384905,758531.8366052061,-0.7634754062250835,0.023066730456663236
9302,283330920.26015437,3882422.044392387,-0.6187016716689684,0.01395536895588362
1686,75098449.79511343,3958636.8812539913,-0.21218892770662948,0.2210722147149664
6205,2367235367.7720623,27249720.58493535,-0.28893325522552515,0.2778263121041422
5592,11657113263.678698,128233188.87197064,-0.10546426530107017,1.3977484777009144
5898,9583578042.905752,74462598.67769575,-0.13201080958108666,1.1055025895148851
9121,506510103.237506,6215630.115627316,-0.41139346854173187,0.08636819091504287
14319,86749201.46679178,949805.1867717777,-0.872187317176977,8.674920146679173e-06
12628,175653422.24632555,1900668.6061314014,-0.643455679810482,1.7565342224632532e-05
13629,55361771.16554811,688425.2617988104,-0.8852411721456062,0.028236990642667225
14373,54149457.316174455,721230.6412989299,-0.9096874366641852,0.015027672273456414
6483,5630089898.099871,46122086.060844734,-0.2539510332093727,0.24724401244177865
7627,1190652726.6248019,12354752.912767522,-0.2845189901048682,0.35872910529799684
11192,135120822.56010416,2078755.2339999522,-0.8992160301370556,0.02215756569824433
13355,121013905.9842624,997858.1048177684,-0.7168914320142447,1.2101390598426251e-05
12125,118636159.28684326,1682619.1183333406,-0.7758235921957781,1.1863615928684313e-05
13655,56176385.99444229,736919.5492338515,-0.9905204465969868,5.617638599444231e-06
6094,85226810.50338866,2361902.7044700156,-0.5124266782641624,0.31970804808022785
12391,166139593.81604314,2054463.0717606083,-0.5959047142694465,0.030053868550193288
9313,1600004678.6363132,17975477.49191597,-0.32764728190220305,0.3977487882872075
