,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
881,23720230875.27411,21727823864.728275,25936572895.224346,46630171569.84206,55247496184.63137,62120814647.41671,67197746938.68329,71470796384.77347,72852646949.1026,76208939255.83545,57942342151.143616,50335058799.240715,27707335021.866787,364666767309.2379,411235945704.1083,3843435998289.2026,2901352167228.456,1285605386007.876,526768559277.81226,176737710698.16226,0.0
243,14137657840.905563,18065994832.36067,60398335909.46434,185193632660.47714,292222181995.34735,374201283284.2278,449672567844.7397,506184271406.91046,540856129945.68695,618966479178.9847,481222213425.9105,301303340960.9385,167874120694.4046,829733310229.3763,818718381272.866,19437712345263.11,20894060907157.836,11908658440063.799,5565902669560.774,2048701483040.378,0.0
1175,649359747.2993779,922951897.9739594,2077001503.2491667,5322178321.829221,6739537699.042343,7635629255.572769,8095915038.814346,8467007924.587351,8467122988.924532,8378522821.953623,5969248794.978632,2982386792.793964,1582126538.1494954,365322078.6082538,176214779.81202054,2418231074.9857545,4454510922.01997,3424722778.036079,1836599732.9091306,740582376.7878722,0.0
900,139301682.46933004,260327763.12905127,789511000.6644312,2207725388.8879743,2866390038.733703,3272909372.478976,3483386541.467673,3657025515.722064,3674054789.311384,3647279923.1311812,2606302068.300662,1305548181.0773942,692242911.2196407,130005499.50387704,51197448.762365855,415857093.21071553,776733145.4718932,599381545.6628835,321983716.9653642,129956877.84127215,0.0
1227,9166206930.024378,8487251649.025575,9782988466.5948,16693401872.740564,18594903545.935818,20118868025.349556,21039752527.857914,21649103851.167843,21316259369.608448,21036151804.178787,15138481343.180574,8233792758.969275,4356511784.389426,11427603487.409225,11274696358.757656,185879478121.9849,179201267078.0804,94869678097.069,42651345059.74638,15282204074.294634,0.0
914,4459524530.134614,5085572632.692703,9042536416.042515,21848514786.016205,27187697551.505116,30943725078.61023,33390420994.688496,35230270679.54432,35575073393.7704,36429269968.099106,26655047790.870472,13697476880.137575,7169814902.325245,3491962083.297955,2422470482.112332,50532005414.90407,83254003628.89061,60147461466.14942,31300302125.792404,12368927359.256504,0.0
441,2817378090.2857347,6677775671.857202,34917609845.17623,119179921609.28754,182451123498.85547,227620783750.2879,263148718796.72318,290855863490.3894,307452634599.74634,339202376242.16394,257608016323.63773,138155813720.48633,73811538525.21277,67298915447.5839,52587405263.878044,1889601491393.5994,2598002217133.8755,1637667775754.364,792768410695.9692,297484809391.0435,0.0
1797,227251351.16658986,355819371.91306514,950607893.3817825,2644082143.8473387,3535295252.2369576,4114211895.5649943,4454053027.39978,4726417995.7183895,4824479425.825379,4944828681.613771,3589223777.543004,1819469514.335289,955138218.9129703,175166186.35307714,65531061.989982784,400578829.8742179,747669389.478125,576961309.6504441,309964098.30337733,125114980.86703812,0.0
990,63577858.408278905,129441440.30153376,449195201.43940616,1290675729.1652305,1766790377.296048,2053709923.1739318,2202386726.034355,2324666722.3241887,2358107771.153419,2358610989.124307,1681515768.217632,841586585.4359343,446847864.16161853,80053723.06823938,29919452.381582268,182230032.62212572,339455548.933553,261825935.93741137,140633180.83188686,56759812.0605807,0.0
1009,803371271.4075615,1294409666.073854,4326390677.444931,13151492330.841232,19455989356.445225,23624515871.1036,26422937795.00678,28574268283.362633,29817028587.007877,31852991120.91986,23433843731.568405,11938224036.871819,6307619157.007101,1611468511.960081,813640342.6702571,14007115051.318426,26210258365.370495,20228378750.628166,10865873907.219229,4385145976.197602,0.0
547,12445806848.552034,12952203409.146984,28515117868.15015,71260535003.74751,100357298151.05542,122423570811.3044,141447053431.22604,156267838360.41812,163034926026.54034,180813639931.26978,138100438971.73068,81135815271.94908,44308966686.98302,167260027615.5531,174459558104.9039,2546606862920.8115,2664942938667.664,1533877628277.4011,724318051185.9934,269098590530.36703,0.0
423,9385623818.268986,10395366481.68455,16980287783.280264,38721429218.96622,47598055425.62242,53662578659.46123,57117025596.78772,59822323702.28666,60056107797.12225,60355366178.50243,43559433928.81167,22311508502.487476,11756104775.859602,7689596060.969838,5858226631.967559,133683434172.24207,189841758434.08023,126177933852.5119,63224713714.14267,24377408111.110603,0.0
498,6823896624.589982,11169143688.475016,36181266003.61033,104240447077.21524,145229231068.627,175167505273.99567,199106358170.7357,217934149651.5828,230246376829.65836,250784114235.2283,194961396720.06558,163534574246.22934,92726053887.1235,1170558322395.4175,1414556939011.6519,12313229230275.312,9693835911858.268,4543678046773.775,1932766666321.4768,667650587742.797,0.0
1686,281031209.55719495,394262995.9997629,864932228.3557371,2146596053.499052,2632513522.4373727,2944137261.0225534,3102900555.2381763,3229884629.4248233,3210388408.6444798,3152497197.782418,2249500806.9004683,1126604684.9468212,598354334.8058654,117187581.97391762,48681186.30096718,397023918.13451505,722427786.5017043,553906156.8591292,296724285.7380598,119592999.43574965,0.0
851,14873467206.925058,14143868049.192034,17536902584.133717,32611780397.92848,36546932661.03546,39952336024.29137,42252713596.82446,43811049903.83713,43398548583.008354,43639952715.61994,31852595241.318718,18217596818.63888,9708430576.634926,36524087824.44982,37123639559.561134,663439253163.9104,556822129294.949,263099021428.44736,111521950544.55267,38367995861.96898,0.0
1751,28616069.522059377,264469686.48260272,1922492041.5337574,6649962626.268099,10377997253.030136,12890870682.460442,14662204891.43367,16014495817.229143,16840310687.265848,18270224729.89496,13594105098.353472,6984175261.885242,3683498931.0699897,642423708.0888414,216480136.05059916,243920910.40464088,448928771.4790736,346438091.9044389,186375160.1803314,75338175.59817982,0.0
1772,2736152.064813783,83258404.67524245,928688596.1157522,3274920808.5220985,5528563121.592112,6984012245.927671,7937526333.428186,8672436390.984623,9214744687.76604,9956694794.19585,7242776767.194274,3629769668.9397707,1947191360.7415173,326451173.6750735,107823225.21782699,5383474.155576385,2090417.8332332035,848253.9354341454,430956.14065671613,203612.56517833762,0.0
212,2337147917.5351715,4579591233.880236,37913422870.170784,154361845786.93668,275613950227.2191,369339439739.5503,453679368457.8417,524111373920.88727,563950567307.7502,656248469057.5931,505721098238.59644,260314137282.9643,144003862381.53452,25956351982.026955,8935949372.611692,9559990098.61378,14467108823.633059,10178325309.043222,5263304698.312245,2076133620.8478718,0.0
1158,2547863613.564129,2262606419.3246827,2443771680.4544396,3989390482.8918386,4165124430.1798587,4321015867.848672,4347777723.380443,4379059835.870547,4150732624.5137587,3855329994.0127306,2697312538.149845,1339985754.359175,721507057.391021,420515459.0896653,324408627.3232133,6094407425.573836,8526433680.23368,5720506912.024017,2888626512.6403933,1121055521.2351975,0.0
443,15475608336.62057,18474935330.626858,41940626102.235565,100290846925.96982,132150107407.25,160378055601.1262,186703368011.64575,204311567123.37085,214805099576.5236,237873251346.85117,185864030946.08954,144795217054.75104,81097730135.12804,792388996294.8191,816478352995.9336,17097445132125.168,12809348372339.135,5575141959660.039,2270850996095.351,760198503772.8375,0.0
1133,464680276.6068887,637692962.150296,1456721036.0833101,3751678948.946873,4775725840.689891,5426791850.913571,5768870048.325691,6037662219.651226,6047124711.798125,5990899191.0537,4260815296.8989663,2125472942.0890644,1133853840.5724287,277523915.924088,140601812.5388629,1977243515.6449275,3606594587.530672,2765782828.7366195,1481563157.814842,597065039.6974431,0.0
1567,134934831.94220385,220613552.1389038,635684399.4066185,1763596357.7446134,2389921116.257379,2773221616.362088,2976822000.2330956,3140893523.5812883,3189837306.979847,3205794040.0033565,2290468626.845878,1145450968.311798,608605760.9262161,113316172.82491286,44279238.30504345,318100973.04627925,587735313.5886029,452374721.11672616,242749279.5274688,97924608.34598732,0.0
1393,1134691529.8998373,1215368868.6814034,1711190906.1825147,3449891091.7054763,3966897137.7440605,4340039369.126189,4537345690.464428,4683657613.96343,4614771785.847562,4538471977.003549,3232727007.4822593,1616179837.335406,855029600.6959652,301724960.3878769,190877775.89715213,3483028449.2028894,5390554531.241217,3793151461.9545174,1955253860.227229,768759085.2573133,0.0
512,20290527169.730003,21963947818.761433,38285709554.61839,84300810879.17574,104590714634.72144,121996876671.9909,136293002768.75514,146259163314.30325,150046093812.96237,160438889206.898,121941666424.60585,81455533030.16855,44748081609.64175,308302510409.80646,306634603392.133,6364639899254.697,5117703426825.743,2306907953400.8926,950488734790.6857,319992344923.4445,0.0
559,36384088852.60578,34891803978.44547,42697790412.88834,71474575425.21672,73149550925.37709,75873948144.0961,78266558997.81187,79172946206.13298,75903568101.20654,74269574470.27664,53891626646.42937,31807777040.491844,16986339038.837149,84163164953.24426,89843870934.40976,1049199831324.8103,941243652264.726,475541183432.083,208517955412.0319,73376485592.62173,0.0
300,20580525361.662518,27198666136.77817,80765295952.24792,235782229301.3066,331481288197.6013,402400875398.98804,455582284549.9649,496726495584.1674,515572885358.11115,559812557567.326,429325329899.3739,300971135554.2888,164828444163.49936,1316135285134.3848,1406033984796.7183,27069630269589.188,23963225848631.574,11592353596457.266,4948831104759.975,1706815880699.7349,0.0
676,23670688421.337063,23057745950.232616,34398566436.37169,71692394213.74486,90786602524.6638,106560450672.39244,121511467784.8901,133355554367.89645,137583420465.07562,150567183635.7415,117210445729.46751,112903250318.199,63433271192.596085,941036389719.1436,1089459808065.5729,10810598859528.635,8172801646986.654,3661423975863.9004,1513718005327.016,511548596391.3693,0.0
312,18308305573.66945,21466655030.28402,56911441131.27124,160222319769.91534,236121518935.45602,296552481414.54913,349693742029.51794,394656590479.3317,419689603593.946,475414900350.79266,375308315982.39453,271248682569.4539,152281493527.98965,1364189596784.3733,1519518283918.508,17337897853414.88,15174532611692.178,7705104307058.435,3410343025724.2715,1209841578649.0808,0.0
1432,40266892.94888181,97272885.46392953,381551184.42646646,1129683530.8296075,1561920838.9604862,1824692966.3083692,1958719372.664863,2068477507.0249133,2099273728.3645208,2094794479.2763712,1486216341.2705963,739606183.3841301,395155305.6064639,68963826.69709691,25097803.598415308,125783065.89700739,234703527.95356187,181134023.5613861,97322245.25273943,39287250.659828685,0.0
1193,3818472880.8821335,4502343590.486712,7610684944.92295,17259978202.873844,20356148517.38136,22463074198.36628,23675993343.68963,24624909085.088787,24431022525.781815,24337646729.93359,17628548322.746,9445915452.469093,4983993446.975131,9889792313.979156,8856371588.036701,220057900215.61288,212244268806.68872,107541787876.56291,46851194008.057625,16376045769.776552,0.0
482,20584679925.53382,21476679600.181187,35310992300.41011,76564298056.2171,91487051323.22403,103804576939.03372,112345077321.16045,119064261198.88225,120862096954.47421,124774026932.11702,94378738994.68747,85211838892.82237,47456439715.47159,684554146580.2516,805867034739.679,6026621816191.709,4457813187919.865,1956570220280.87,798528236770.686,267293295353.3845,0.0
1520,1645257626.6658347,1619191285.574058,1884850203.286893,3219906615.6051397,3437033961.1776147,3641284111.9282618,3740743052.796449,3800207657.432768,3675914055.4760427,3550889366.015333,2508633759.371827,1246568540.1994202,660503854.0992097,265128961.15369412,180085245.29848227,3300978872.7253184,4684200087.607372,3157002280.5447254,1598242314.5915315,621581780.0429044,0.0
1327,255755172.80521363,436512565.825471,1263524795.1590502,3436240314.648633,4494919334.911534,5132756680.615546,5453853227.669439,5710993722.700141,5729049499.270629,5669446841.357529,4035404958.6803412,2012698575.8548808,1070700759.6760054,210367589.52010837,87945957.812174,861921432.2549338,1593596209.2182,1226330102.500093,657947427.3791529,265368642.75024703,0.0
94,134401611492.56294,132214050211.1389,227752413258.26535,513558789076.0786,650221822411.1804,759018626326.4658,849997934152.4974,930516782115.6659,970152433623.3362,1052209900363.5692,835248362470.8484,954579445640.908,544690118265.8386,9431225591876.352,10938697544836.648,97255457678066.95,68119858676673.61,28959229994205.535,11700127089038.312,3898977779738.518,0.0
1307,2876875874.488723,2929033675.750465,4083802578.4221363,8135125297.806718,9341019710.728003,10215295261.468157,10676842592.649576,11042456876.286242,10911028576.46189,10748304360.947067,7715521760.155156,4001019871.9715075,2109164282.0770133,2350241598.2231326,1990924773.6614969,42325450805.613075,50739576299.59366,30427144176.828766,14506067855.53911,5408376069.717537,0.0
1369,838852032.2664434,1368276245.8198347,3831513286.8184314,10726175029.258139,14214173600.317095,16430872351.401232,17688771593.38972,18699118558.409786,19008477448.744827,19300706753.053864,13980043474.721098,7112390687.317578,3733548077.9693565,1142045683.0113103,654360387.3079584,12635685052.975807,22571777434.867607,16970840134.670107,8993758467.168177,3595599942.8730154,0.0
70,331280083527.43353,306207992628.4787,405865835197.23566,727573880396.3887,828170294341.4054,915269621450.9188,993383177748.728,1062867555442.2615,1071987074260.6216,1133941661149.1394,885899392167.3673,1102656590369.781,631317047014.8585,11713328174594.326,13626802859017.375,117753678456265.42,90369074038187.55,41642792599531.91,17576184978857.527,6042768446983.091,0.0
927,52056920.696644366,185727834.56362644,977792910.1988924,3098042856.656952,4586291179.633228,5504489324.352218,6031513635.604693,6448285190.882603,6679351604.537075,6904475916.23564,4975195936.326346,2499546080.4810767,1321094336.1116884,242424522.6818383,91822964.05788521,703758756.5783975,1329446756.3607988,1028711169.6849186,553277890.3787211,223443923.68761525,0.0
714,4049168285.496954,4064347089.808891,5875821304.373321,11651602246.572447,13113373964.710003,14188378060.838137,14809615642.836044,15220212691.639591,14920610357.157164,14620499652.472157,10524915749.0357,5357828108.35792,2821150319.9088755,1320534743.6517558,924056541.6580504,18481365679.520832,30159123193.78911,21788813493.544598,11349709565.371908,4490289174.549614,0.0
462,10748047304.04296,12809094388.66059,32627182917.23499,86793226839.19458,120828964785.03142,149428212627.3119,173292849233.2255,191857249936.27246,203635870034.88428,225895914577.07562,177114674323.46198,137610160186.74677,76753595397.95747,744542388361.2458,794950844963.6919,14628317682281.096,13314854901376.508,6736919106118.4795,2959623712963.1694,1043320857076.105,0.0
673,4476453680.935563,4946163343.304504,7330835643.725155,15522748770.55037,17795423768.358376,19424402914.97012,20295247165.978077,20969317804.2298,20616591978.25104,20232401049.28943,14483356126.782593,7320321208.877475,3867014793.6508074,1839012256.859721,1284931022.6483128,26327410492.962887,40956806887.81259,28801700791.386658,14818223139.521646,5813448616.2755995,0.0
75,168064265095.54446,172710590130.10544,255210184458.15588,522007123487.16254,618200681401.4495,699421610950.5216,767800749830.2332,818554653791.109,825344349960.3147,875564599242.6223,664802706154.2407,504250365585.0145,277379574657.45074,2810103978267.0864,3020710226043.1978,40397248436599.305,37116680537799.13,19293369240025.258,8642579622033.63,3095507359271.3765,0.0
727,26772721555.703854,22631206228.413177,28965098737.561413,62756008501.15929,78040622676.84373,90481512694.9059,100125141143.35426,108087065862.96346,111877737351.0991,119320886723.18579,91936849278.15485,91684248913.58817,51152544132.30148,791108502214.4133,914980754964.0721,6372967691938.654,4576489526494.872,2023678569513.4941,836680847215.6997,283436540871.71765,0.0
1379,1916176594.0201387,1996310960.890088,2689482947.7478533,5193588239.846712,5858890234.207722,6341550997.114142,6582359637.99525,6756089607.659223,6616170727.714859,6451300571.936056,4591946309.710876,2310277172.2302647,1223207692.8012886,598005520.1529312,419406572.779421,8068319695.123082,13205797214.938993,9580755950.91107,5003424387.515793,1983326649.898855,0.0
1622,584223346.6268224,739436087.3864846,1519481331.2341294,3831469984.7156115,4845458936.152989,5503371126.363357,5894145535.950724,6205676421.903871,6250988861.284924,6332054135.308255,4589647190.978027,2330014630.129231,1227684170.700592,395722823.7636316,232309489.7360869,4212573022.1342916,7402851501.110619,5550985906.388033,2942488106.9369035,1177546120.2299151,0.0
28,55965674802.525024,69893373895.02615,216508477859.41537,682437260182.233,1085444289819.1515,1422858565387.2969,1744020136754.2603,2031063697678.817,2205932159542.886,2583035032634.185,2089591018950.5232,1661578986928.0125,965570431740.2596,10019367243668.531,11940546601080.43,171592757059931.1,153595896252494.38,81146647196902.67,36950792016749.266,13405347402739.623,0.0
142,166644023735.1563,157923647359.26636,250486840137.58905,522738788450.06366,648442915016.6354,760177738765.106,856448814997.4524,929356378003.4929,957487405538.9363,1032955528765.6177,807582014396.7979,885975541066.9941,501536143048.6439,8254616054855.49,9402836770020.2,98677019517001.73,76725651071889.47,35451330704677.38,14948528902413.18,5129683773817.807,0.0
1657,1139998374.2974627,1345181291.3849485,2257106063.759247,5025556190.657908,5736193287.327542,6240794134.525472,6506224798.886739,6706424320.403506,6562790727.819567,6395922395.264949,4580904220.678983,2312556137.2102976,1224412209.8322601,541742691.1857119,361768523.55817086,6927066992.0789385,12422340944.315208,9448451181.080318,5041693298.172839,2026249434.9627542,0.0
1625,954661939.7477863,1235074104.5439193,2513881785.263243,6559757178.415881,8562188014.72433,9943364784.983627,10856345223.006853,11576134545.598787,11816199571.970081,12335308253.94684,9100380500.293306,4682176219.065129,2437713233.523824,958452298.9611999,607611110.5920644,13421051496.179728,22552361895.847515,16376724854.1802,8539978974.491813,3378359498.2694716,0.0
1779,95267494.01667248,345106171.9126753,2015840121.1336708,6747812607.878396,10347944594.017233,12763576592.721664,14451325774.953423,15734494308.320751,16503651458.637657,17840167871.678986,13235269426.558842,6774599895.087845,3571005329.463349,618244611.280031,206576745.71425834,120149072.16222142,210993926.211045,161607443.50350922,86808167.60770373,35097406.304255895,0.0
719,330937653.5829729,1078609299.867286,8924232433.734377,33617927524.270424,56850954545.13246,74065622353.70523,88693038757.80748,100031316151.80414,106883980244.26657,121850645376.47232,92964713604.45403,48588433505.56382,26441974030.365765,13868523139.434517,9450998568.083971,300952833235.47015,509862925085.1949,366123351553.4951,189281718899.95172,74335261890.56937,0.0
