,"(0.0, 0.4780381330602191)","(0.4780381330602191, 0.9560762661204382)","(0.9560762661204382, 1.4341143991806573)","(1.4341143991806573, 1.9121525322408763)","(1.9121525322408763, 2.3901906653010956)","(2.3901906653010956, 2.8682287983613146)","(2.8682287983613146, 3.3462669314215336)","(3.3462669314215336, 3.8243050644817527)","(3.8243050644817527, 4.302343197541972)","(4.302343197541972, 4.780381330602191)","(4.780381330602191, 5.25841946366241)","(5.25841946366241, 5.736457596722629)","(5.736457596722629, 6.214495729782848)","(6.214495729782848, 6.692533862843067)","(6.692533862843067, 7.170571995903286)","(7.170571995903286, 7.648610128963505)","(7.648610128963505, 8.126648262023725)","(8.126648262023725, 8.604686395083943)","(8.604686395083943, 9.082724528144162)","(9.082724528144162, 9.560762661204382)","(9.560762661204382, 10.038800794264601)","(10.038800794264601, 10.51683892732482)","(10.51683892732482, 10.994877060385038)","(10.994877060385038, 11.472915193445258)","(11.472915193445258, 11.950953326505477)","(11.950953326505477, 12.428991459565696)","(12.428991459565696, 12.907029592625916)","(12.907029592625916, 13.385067725686135)","(13.385067725686135, 13.863105858746353)"
1297,0.01160981131519818,0.015657439702321835,0.01629006782523373,0.005323252899117758,0.015496787444927804,0.005093640184230395,0.005023780230827901,1e-06,1e-06,0.010044572315686671,0.005298047908836914,0.009672793593329412,0.020059558709650153,0.020333602282842173,0.05466164191827187,0.029353648305288204,0.03395894422166126,0.005152690676387181,0.0047397004939281236,0.014823794598206107,0.004551131519847151,1e-06,0.02005126161008582,0.02483306438772007,0.024252119039613804,0.010206725778018304,1e-06,1e-06,1e-06
1507,0.016897597463331773,0.03770277285855961,0.03177488653151115,0.03663339410145132,0.03613997625367945,0.01000721502825197,0.03580583413927898,0.03995148442711715,0.015355756466223105,0.014896929105309207,0.009813342042718401,0.009706860763100258,0.03015843865277015,0.009990358370083292,0.010139480784393329,1e-06,0.009858954099613767,0.010036937274877615,0.004796940555354921,0.033570137239003546,0.014566699001427387,1e-06,1e-06,0.014681774126963715,0.004797295698562635,0.0048380746413915245,1e-06,1e-06,1e-06
684,0.10296346270970333,0.07747188194104222,0.12848195725971484,0.08680546094945757,0.11907513189067045,0.23339191525759306,0.1741800193901348,0.25561021741784135,0.26298147520777343,0.11400767083389227,0.23186765075915344,0.13747098547677095,0.2627057377218174,0.2876491726745403,0.3454633710700345,0.30209722536755684,0.24759808838886838,0.1391371498598325,0.10887164013298431,0.1416305753226313,0.06341122447842043,0.10690029506219885,0.048529176406479614,0.014556555418790425,0.0147904443817318,0.0987477856602911,0.055469354532275736,0.024424697911169618,1e-06
1336,0.06823090777818436,0.04364925344096171,0.05975080728340536,0.04156056154686244,0.036423311092804875,0.020411429539398042,0.041090492824031495,0.05156671569243548,0.015360324364191224,0.030055774998204943,0.049483240146419694,0.03069131942614432,0.030201491247023315,0.03532736600827454,0.014773070964518882,0.009673816322091336,0.034541599460813824,0.05018359995438305,0.009841766372505828,0.004929275375970065,0.02466885526230665,0.03914247553312778,0.019568774573084095,0.015384989373663512,0.019614359025289657,0.030002728786638115,0.0564174212661315,0.08386246353728448,1e-06
1306,0.03509522491468528,0.060670640867180305,0.09914622937040504,0.07971605979713516,0.04895881926278551,0.07292399980159772,0.03591220368813869,0.03610844553935905,0.036169508023950456,0.04541758682186191,0.030199925517559158,0.010095616302050706,0.03553856147389477,0.06344999510931702,0.02949483704270048,1e-06,0.019258694813331072,0.019774720570387778,1e-06,0.004554341543571754,0.004613460321542725,0.004956989048283525,0.01906164377159565,0.0100086790980132,0.014434201210400644,0.014857827876796768,0.034652510176806095,1e-06,1e-06
793,0.03313660294811743,0.026673149282922474,0.020775076893383756,0.04211464231776529,0.04667213430588141,0.0408748636844123,0.06575976169463633,0.06574053041007201,0.0404032573123988,0.01546562330606297,0.03529911172626373,0.014853975698524119,0.0399241968339998,0.03522619407932756,0.08949708211969794,0.038893726376536784,0.024377407001494857,0.0047823649894304975,1e-06,0.00938083997978054,1e-06,0.0049195724682205835,0.009758001046827468,0.009890927708663056,0.03393134166988373,0.004744530042367085,1e-06,1e-06,1e-06
440,0.3841818149454465,0.4616135435406416,0.5305633611404555,0.3747769719004888,0.32644610408188046,0.374080564264082,0.46918639655190464,0.34566296296533044,0.5252862770400933,0.5710662356099409,0.3435990021633371,0.2872210239911634,0.3365102200960123,0.2525703402504691,0.2110549868639208,0.2581621199677198,0.2270346561949591,0.25261436685213684,0.09812744068882148,0.08267465931200621,0.06290024220180028,0.01941471965214886,0.01442729850609473,0.014978029748407324,0.028782632246866585,0.00972762633174561,0.004964740561372585,1e-06,1e-06
1602,0.0331373232909727,0.05889252674243586,0.06875626623674476,0.01553162792561468,0.0459944036411642,0.04525726026642687,0.034672808702688344,0.02033305992875118,0.0349160863691646,0.01487291797157449,1e-06,1e-06,0.01498139423857119,0.024715135830160346,0.00993009313913203,0.004735259120126872,1e-06,0.0050180921093104045,0.004893730862450177,0.004699067909596182,0.004893851839348939,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
1220,0.0051666720968655076,1e-06,1e-06,0.010812468378554384,0.005107972594891447,1e-06,1e-06,1e-06,0.005131912505432504,0.004705805486852047,0.009858597068676719,0.005099789734323081,0.004926991128178131,0.004851360846037727,0.009984961535143031,1e-06,0.0049165767872921965,0.004975749134063086,0.015335628893598569,0.014543171308268366,0.004879681195903258,0.0053136874299410325,0.005192925270833109,1e-06,0.019786714498922674,0.06324878730379777,0.0492641320700645,1e-06,1e-06
882,0.15341055128879802,0.12900764378015406,0.17106013419065702,0.14713664168153073,0.12599104821071125,0.1405909493022396,0.06580714294881511,0.05053770471530239,0.06059631186665766,0.07546619313407664,0.09313558587924654,0.0711384862739252,0.02533005344883932,0.03035935145232541,0.035231681493092096,0.08423278530153948,0.05994580492586045,0.04523222774840645,0.04485714630988502,0.030337307823628864,0.044241308738061993,0.07925559699740103,0.05403453324838214,0.0795782455383176,0.08213211662065739,0.09348389867795841,0.06493940410997084,0.005141058270868835,1e-06
