,"(0.0, 0.4765711741960717)","(0.4765711741960717, 0.9531423483921434)","(0.9531423483921434, 1.4297135225882152)","(1.4297135225882152, 1.9062846967842868)","(1.9062846967842868, 2.3828558709803587)","(2.3828558709803587, 2.8594270451764303)","(2.8594270451764303, 3.335998219372502)","(3.335998219372502, 3.8125693935685736)","(3.8125693935685736, 4.289140567764646)","(4.289140567764646, 4.765711741960717)","(4.765711741960717, 5.242282916156789)","(5.242282916156789, 5.718854090352861)","(5.718854090352861, 6.195425264548932)","(6.195425264548932, 6.671996438745004)","(6.671996438745004, 7.148567612941076)","(7.148567612941076, 7.625138787137147)","(7.625138787137147, 8.101709961333219)","(8.101709961333219, 8.578281135529291)","(8.578281135529291, 9.054852309725362)","(9.054852309725362, 9.531423483921435)","(9.531423483921435, 10.007994658117505)","(10.007994658117505, 10.484565832313578)","(10.484565832313578, 10.961137006509649)","(10.961137006509649, 11.437708180705721)","(11.437708180705721, 11.914279354901792)","(11.914279354901792, 12.390850529097865)","(12.390850529097865, 12.867421703293935)","(12.867421703293935, 13.343992877490008)","(13.343992877490008, 13.820564051686079)"
2615,0.003993535562769815,0.013156084828257336,0.025999343557629877,0.012315658458354178,0.01301177077796575,0.009426338161726994,0.005748931369472154,0.023395959034309993,0.006836330563469048,0.01201187489092955,0.007180579580158275,0.020427121000484886,1e-06,0.02042319423273701,0.009634333788487921,0.06193125355496603,0.09200266184377462,0.1074105003644358,0.07214698901555604,0.07193791300767804,0.07915248632595347,0.1204204238685418,0.09044020997357602,0.0546127445200222,0.08357049763927385,0.06078093851873646,0.07201992833362438,0.056353513073201106,1e-06
1297,0.12504272704169747,0.13237698409480275,0.10952048321346339,0.17091927771005266,0.29614943630488383,0.230675214570987,0.2592358057221354,0.5289478254898228,0.31821470115080636,0.3966199146705614,0.40209933380379814,0.198698100395829,0.3272818209507714,0.25002396997911663,0.4299412512112067,0.35658839478164633,0.3715176906301315,0.40200356243903745,0.33146983918558065,0.4589811853163922,0.33404974039524293,0.36902310588972265,0.2990575604473114,0.2233636979092228,0.1380190690557735,0.23593258418688523,0.23143112791292506,0.07142210570679183,0.011250938275895028
3026,0.004331122966058962,0.00863774628263731,0.004128361013546493,0.0046455784769818586,0.006685594406650549,0.0043384613416414435,1e-06,0.039962650956756975,0.014493519684537211,0.02395195130638244,0.015718084719071095,0.021441276064696015,0.012499314405344736,0.030513323785556667,0.03766017942600577,0.02848619094491382,0.08050351005454805,0.08972896605128114,0.027726163907788922,0.054905351947283916,0.06719646807625068,0.027235917176607713,0.023630073265374838,0.027221117217727644,0.05721391377348705,0.015044618460316586,0.03001948833899461,1e-06,1e-06
5223,0.004944089957183723,1e-06,0.00817639173150389,0.00426792012845567,0.00832344172104657,1e-06,1e-06,0.008248044560475697,1e-06,0.004413685268683663,0.012111473660103953,0.011717484814165206,0.03510076221371207,0.007722047329634041,0.0038162025268041818,1e-06,1e-06,1e-06,1e-06,0.02322234115761907,0.030293941775416198,1e-06,1e-06,1e-06,0.015126309957802802,0.003855711660478028,0.0,1e-06,1e-06
684,0.026031575951955814,0.004002002124584982,0.01754730372708154,0.010899505456443106,0.01499097253990408,1e-06,0.024190342589438318,0.020183078193653375,1e-06,0.04658160546081784,0.01246025036109443,0.04294569490740289,0.06061195297322282,0.01694755472320548,0.06464392204200754,0.07893086538613345,0.12653783421060238,0.08672200656348913,0.04629878461208335,0.04727427465604781,0.05003568336400336,0.11084755113347086,0.03416695964180231,0.01154464730478818,0.0752395996454824,0.026351905773496487,0.018843753715428947,0.018888323543475638,1e-06
2159,0.060143792080499275,0.07431919971850068,0.09237083159737614,0.07326955024104907,0.054955817751992146,0.0652857967554814,0.07579529856134692,0.052855854448061707,0.05093290908733616,0.09090296226891145,0.11952603638256863,0.08799182929782039,0.10812707975882072,0.12393710279939955,0.07232166628511541,0.06482611741954962,0.10770503545204851,0.10463901927956656,0.08953558944319949,0.09470473061818868,0.13489910131852853,0.08285703072232123,0.054078983386686555,0.05413989893904077,0.034624829104040994,0.06773498065674105,0.0563982918296374,0.048745254756184166,1e-06
2740,0.006678044397674136,1e-06,0.013910823221655018,0.01024134479988355,0.024493577035555113,0.030570223321878448,0.026250519435370673,0.016546138507019255,0.020727545785918643,0.021254562218891843,0.054526111967916596,0.048105743233322944,0.042651327044906914,0.0415127533280093,0.045205488524714135,0.0496361242574664,0.07080449986792436,0.09248141543634317,0.04246644867690047,0.032688113661736615,0.016016233287275895,0.019567263125759973,0.11167558700316527,0.06885284598315151,0.04606708096219104,0.022554653720196452,0.0037566353024288844,0.0488870564491826,1e-06
4497,0.009706989781363681,0.004701229487647497,0.013102675232571456,0.009995875158651229,0.022033079903697284,0.030741658299491832,0.016779959409704864,0.00959542726212435,1e-06,0.02138385793566282,0.03315616010167088,0.01244554332416366,0.016832512631580178,0.003829303465137689,0.005884777210335718,0.027168714082676293,0.023262272183154697,0.03185372012285338,0.06735700046082176,0.04380929681274716,0.023925917175952275,0.04696383778638283,0.034817660758979754,0.0496101253909425,0.023151612708735014,0.0262866737191541,0.0341757626749995,0.007511006327111344,1e-06
4702,0.00980525227927225,1e-06,1e-06,1e-06,1e-06,0.006268526573721178,1e-06,0.019811442426917913,0.03186241623691454,0.01614988909299774,0.020481245065287212,0.02409063162975695,0.0040564005801898995,0.008071362970507348,0.007843581606821193,0.016214651401076304,0.007974905769516727,1e-06,1e-06,0.00793719896967996,0.004134038392775529,0.011985871295225622,0.015247837078766277,0.035100345891154024,1e-06,0.00813145694430336,0.026327656533082548,1e-06,1e-06
2415,0.038854449157419396,0.035707496266714975,0.04414582499093193,0.02995341416082046,0.018130227230264483,0.016073561943273265,0.020276664929717483,0.004607259897993532,0.004143414864663734,0.01305343467534214,0.020820112669874834,0.03001641466268647,0.009655244277518814,0.03881124867465219,0.025945673562218788,0.037052504321992266,0.06330585734997378,0.0450433958563415,0.07741756250626489,0.06668351583620276,0.07338793219407146,0.10637601372171217,0.05360537335473976,0.0379945310187591,0.05301221150724949,0.08296645515385057,0.07880514353727075,0.018827983311952096,1e-06
2170,0.004810604583838991,0.019786901568814082,0.03284179276738482,1e-06,1e-06,0.015614884662880022,0.026470700482141046,0.015633176878810627,0.03189267040893589,0.029831280780977507,0.03459804764347077,0.02876341065089339,0.026133242776349267,0.02109920194251492,0.024264295082496314,0.01566387559642167,0.031558756475182324,0.04874480934210569,0.06259637686904745,0.05404002814173758,0.05384693157263833,0.04243296379293903,0.05701906425575587,0.019053585321337066,0.07169036116602101,0.04883608947785289,0.033840298556884696,0.09760328370538172,1e-06
3626,0.02426895316138487,0.003991530357727899,0.01255814637232272,0.009531195389639792,0.020389122450974774,0.007742761482272437,0.012449029462844036,0.016553679301478916,0.003938398170491041,1e-06,0.011400790833455202,0.02388417268786896,0.02375436319730264,0.012124268531941035,0.01961165271557453,0.008104964104362596,0.019757440984816826,0.019690188053921195,0.02741015803509796,0.02744069890508248,0.023419994488541113,0.03545921313966616,0.007826969063925951,0.019174415543060097,0.022981398580454886,0.015136207792596716,0.022602763716185647,0.015014696021610634,1e-06
1336,0.04392903772048813,1e-06,0.007958503511572975,0.003870209774204884,1e-06,0.023546703545615357,0.003758288657717592,0.00765967612601448,1e-06,0.039615092475319524,0.02351196396672898,0.011438494941452871,0.015376799518659825,1e-06,0.01127479722226041,0.003747926839781371,1e-06,0.007483636317056774,1e-06,1e-06,0.003737606680703326,1e-06,0.003836149003425814,1e-06,0.022530008942048752,0.003775551553696404,0.0037455752450071774,1e-06,1e-06
3411,0.00567293681104551,0.01079316265175789,0.005223646358491505,0.006798375027591506,1e-06,0.01974786878881841,0.01080613058304917,0.01525096966649855,0.02161518241860376,0.009238482979495108,0.021625356401625582,0.020389334653422037,0.013378225062782996,0.03587917853915546,0.017771702537166627,0.025686277858286314,0.0400111358932598,0.009570561896701444,0.06543630522926436,0.07268684965435164,0.08733827873730203,0.06363368083195883,0.09401230748638989,0.11099320201327285,0.07312667924133491,0.087823357815627,0.08711392683313392,0.09777119188602444,1e-06
1306,0.27527016001385624,0.3309454143512356,0.23369751986965656,0.49676295038866064,0.5539847049813146,0.5691218956310464,0.67872973035616,0.6941565339864071,0.8206190539495116,0.8140024804677141,1.0375147576982984,0.9654043481541307,0.8126982537194803,0.9072189281222567,1.1215179724614535,1.322539259354289,1.3639935280819313,1.359803418134722,1.3946515704448414,1.1908777429189346,0.7842673436373826,0.5275429866610404,0.3842842600192685,0.33617624509523925,0.12982422937290072,0.15822094024497746,0.18485310329094073,0.026306197035918105,1e-06
