,mass,dustmass,logmet,sfr100
988,2138356420.3193493,664773.1015471342,-0.5710342631396488,0.0002138356420319348
42,60504520654.56363,112965545.46866556,-0.2508777897045952,4.371422015630806
64,27692415823.955395,146201262.3916785,-0.34768625273129444,7.413692373900074
1362,561749597.2889147,675107.8085167824,-0.6661547966257206,0.12223962633157164
1352,45489407.271174155,20963.089637114823,-1.3481083534905942,4.548940727117415e-06
913,309966007.2407192,327407.52178783156,-0.9835735489046125,0.19546279017881849
235,1508149641.428163,2338171.953152636,-0.997939925067605,0.4098390111560407
1796,101168715.39246534,21677.96361469204,-1.0336451111081044,1.0116871539246548e-05
272,5767131444.479351,9463367.76225358,-0.5447266517656533,1.0214540471982152
1777,392877969.18121296,2.303380825283398,-1.081992368648085,3.928779691812137e-05
281,6172399665.42162,12299150.982744994,-0.6133143261820191,1.0512668487080543
488,70006766.58422247,67690.71389102469,-1.343229801333215,7.000676658422253e-06
1334,49890242.52127445,18622.913596125563,-1.4175621566610817,4.989024252127447e-06
36,90796255999.73521,95349.63590253923,-0.1388925865473878,0.009079625599973518
389,2988728143.356959,8808141.414411359,-0.6399164076677113,1.3454454042974278
1636,156478228.1039858,341868.7495068223,-0.7563635379146141,0.0286272781016757
1100,210064641.5783558,53174.76128450904,-1.193538736841499,0.05484137778798364
100,15639024084.30722,50275560.87274776,-0.48289587376383925,4.170464823899838
1630,114985691.385193,26610.98289778777,-1.32827791348161,1.149856913851932e-05
734,892352385.8838425,1349684.8127283873,-0.8300184730879591,0.34454059777061385
1832,48525535.877321504,18809.425642776325,-1.173694058103677,4.852553587732146e-06
1184,98759540.64602195,21093.006350691,-1.3934698531446517,0.023403999863745008
962,731683178.3742491,591848.7868447801,-0.7627292353433939,0.19225373374321725
1457,192784279.4804532,43838.721263601874,-1.236987334254403,0.029109761013545985
756,718668944.3401785,600278.0959679633,-0.7999453144544122,0.28369535007625046
542,600246063.0792055,695611.1731151479,-0.9692892026588401,0.19421018659194209
472,915906954.3195927,906424.5141677095,-0.8796995868186985,0.4528799346465545
1628,285109592.4758256,82108.95760407348,-0.8573113374793296,0.08546222801470164
1538,98770303.17832522,20129.955099610095,-1.2487668858869392,0.023491355983811347
1903,204527776.8261525,5894.374622381888,-1.1219164404532802,2.0452777682615286e-05
117,35019765330.563286,25526845.003416426,-0.3320314974678302,1.553327986602629
1233,458780164.77645886,366790.4219402273,-0.7741944945642024,0.10690753473086587
1509,169484947.67883158,70302.93965530631,-0.9630771088685538,0.05395461212945012
536,2234989206.6866975,1320203.7220061899,-0.6705913478626223,0.47756151908035666
1559,104186419.98994106,43610.2706171422,-1.204597403344905,0.054836919908783345
943,560180008.7734933,423948.0473803446,-0.8725367390771328,0.08161111016007337
156,5391020584.497976,12771979.117990548,-0.5994319129797645,1.3783813063298895
261,2158291003.2841883,2338936.409094123,-0.8849688508817856,0.5321029040554716
802,3280688913.518507,200.2505760065571,-0.5915003419612872,0.00032806889135185056
1248,133210024.56102763,64014.986218656704,-1.3069750444548434,0.027599550161244622
1747,319989753.5737631,58394.84576931815,-1.1484215788117034,3.199897535737631e-05
1627,56603902.68210047,17998.91501684042,-1.3580266477126572,0.02691694104913469
51,22651898916.057472,93726951.95007208,-0.4717699025549029,6.968098166107986
654,996612808.8896818,598111.2132863528,-0.7830998519143028,0.28267081620925943
1427,62933348.83915067,29476.67633534092,-1.3665539818153911,0.08074140486559934
1543,760086059.6593359,106380.24028342127,-0.9151769423261682,7.600860596593369e-05
1644,605007929.8481305,113157.69012006334,-0.8511227225564914,6.050079298481313e-05
1553,882985844.8092742,287.34090270553315,-0.8290763693675844,8.829858448092728e-05
1810,364587456.0735297,0.03036457035879585,-1.033847389384447,3.645874560735301e-05
606,385516472.19933593,159194.73361842654,-1.1035269652986717,0.08049287505097993
1219,700682826.6586285,157868.0880397773,-0.9974399073596217,7.006828266586277e-05
1696,117409962.35269393,40813.42894419562,-1.174251764302312,0.029261994186109183
1619,283732710.26580095,77465.87897690912,-0.995870875196823,2.8373271026580137e-05
1119,50261105.035828866,20722.740226260605,-1.5391200174149196,5.026110503582888e-06
194,3931380745.3307905,5501603.2312803175,-0.7543834573180426,0.7663000388099334
147,26271704917.128178,47379220.35084033,-0.28099344877698396,2.7409442525706673
1244,52393753.9101633,43965.80022752946,-1.4527359890193874,5.239375391016329e-06
1826,334715629.13773054,1.1419406252520296e-11,-1.0538235288213602,3.347156291377307e-05
810,73675323.56618217,47717.55320678716,-1.4666694915711076,7.3675323566182225e-06
479,4365338340.315193,4489255.015357021,-0.5410921420365158,0.531452730716706
489,4423253731.789266,5103715.822257942,-0.5200907444587831,0.09477964848974231
32,107257923387.16393,37771.54271096457,-0.059731945341317705,0.010725792338716407
581,370373702.9889666,213822.47676939625,-1.051037701040175,0.1631772455553828
984,569739678.6939968,185958.30130754295,-0.9865251957342673,0.07969176076294084
1478,46644284.39248106,6874.2378404402825,-1.347448517944444,4.664428439248104e-06
1736,61456753.482001215,10010.466171387787,-1.4335757463361234,0.02757346198772813
1067,2107709069.6053343,129.43481896990184,-0.8920315886570571,0.00021077090696053336
135,37577756098.04358,15774.437181318366,-0.19768333618562467,0.0037577756098043573
1461,902808340.4700736,64619.61765516988,-0.8627717507388792,9.028083404700733e-05
1643,108501641.07978341,68231.24530269587,-1.0266236045879993,0.05509221426407259
213,4148515072.4089603,6648312.02037534,-0.7722971321896535,1.2717768161976037
349,9702029174.57808,5172196.956617322,-0.45367986385845044,0.2521939705757211
486,451337035.616127,294026.62572821253,-1.0931610900612192,0.16403042131599135
1759,254482968.61106744,39728.885719188766,-1.0345281230719912,2.5448296861106797e-05
1561,129918858.87458919,34649.44881629529,-1.2940634922850636,0.0830926341169846
313,9738916814.860523,18915941.801799767,-0.3777777702245413,0.6244791125296775
115,41441894887.07685,22169.03758239143,-0.17795246237790213,0.004144189488707689
1477,166905455.60456535,77535.96924561143,-1.0873178221581632,0.05749409811026477
464,4222251463.301397,4106381.3543492747,-0.595892272263039,0.529309694860968
1738,482409013.24949354,0.9931886792132771,-1.0232467792109896,4.824090132494936e-05
1601,741156546.9844977,105426.30946019925,-0.7982980402408166,7.411565469844986e-05
922,537066939.9888035,354506.827184921,-0.9988448629078629,0.05835636245392034
1381,60341012.23870974,17916.167321086337,-1.408898113229664,0.05421882214724515
182,17131240851.299744,15887159.082052242,-0.32906715348631377,0.22540909236261025
570,2722623279.088806,4112869.110823397,-0.5663013550586913,0.5929069689270929
134,13483538541.870928,33361850.947622858,-0.5312179988886396,2.48807857096731
1517,65552553.62507202,20471.661735963873,-1.4291107923785813,6.555255362507206e-06
1103,1970048729.0024548,2309.096139321097,-0.8177594855204586,0.0001970048729002451
1106,485774919.9265312,361112.8801238342,-0.8169900890524764,0.027809015671626493
1678,581204321.2191544,956.9332058782552,-0.9748574877658452,5.8120432121915405e-05
1316,1413622245.094944,422.90250131461664,-0.6365310630542055,0.00014136222450949467
1177,49873273.49012689,26983.995301381357,-1.4069176172320927,4.987327349012694e-06
992,154035875.9538161,96764.68300181912,-1.192564139454839,0.028043452643185886
1846,169724048.80695698,26162.635860037335,-1.19210082186972,1.6972404880695725e-05
90,16500663730.873968,46489119.84141483,-0.4229579993158338,2.1167471614077247
